vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
vhcd,30,2.72,34,তেহরি তো দুরে থাক। এরা  খিচুরী স্বাদ ও দিতে পারে নাই। ভাতের চাল দিয়ে  তেহরী দিয়েছে।  বিশ্রী একটা মসলা দিয়েছে।  এক্সট্রা  রাইচ যেইডা দিয়েছে ওটা আাবর ভিন্নভাবে রান্না  করা। চাল ফোটেনি এক কথায় জঘন্য। ,Min,
nshy,9,3.86,13,"নাজিরশাইল দেয় নাই, নরমাল চালের ভাত দিসে। বাট তরকারির টেস্ট খুবই ভালো।",KH,
t4sm,30,2.15,18,মাংস নাই শুধু চর্বি,Shakib,
yv9k,30,2.27,22,এরা কি পাগল বুঝলাম না ডিম দিয়ে রাখছে ডিম কেন দেয় নাই। আর চিকেনের জায়গায় দুই পিস ছোট ছোট চিকেন দিয়েছে,Raju,
qp62,30,3.86,51,1h 40m por hate peyechi khbar. .momo Sathe keu sauce mix Kore dei ?? 250 tk pay kori extra vabe to sauce dewa Jai ...sob makhai mhukai. .ntg to say .. totally disappointed !! ,Israt,
grvo,2,4.33,5,খাবারটা খুবই মজার ছিল! তবে রাইডারের বিহেভিয়ার এবং প্রফেশনালিজম আরো উন্নত করা উচিত!,M,
qlbf,1,2.33,1,"ফালতু,কালকে খেয়ে বমি করতে করতে শেষ আমি। তরকারি নষ্ট ছিল",PA,
pykr,30,2.92,36,"সেরা৷  প্যাকেজিং,  খাবারের মান,  সব দিক দিয়ে ভালো",Mohammad,
buzl,30,2.95,35,khabar ta kmn jani cilo.. kindly valo diyen ,Sanzida,
wngq,1,3.0,2,"পরিমান কম, স্বাদ চলে কোন রকম। রাইডার ৩ টা ডেলিভারি দিয়ে আমার অর্ডার এনেছে। অনেক খানি পড়েই গেছে। প্যাকেজিং ভালো না। আর রাইডারের মুখ দিয়ে কি যে দূর্গন্ধ। দাঁড়ায় কথা বলতে বমি চলে এসেছে।",Mr.,
ja05,20,3.55,33,"instant ranna koray besh gorom thake khabar, jeta appreciate korar moto.. 👍",Jihad,
udo0,30,4.24,67,সুন্দর ছিলো খাবার গুলা🔥,Md,
e8i3,2,3.8,3,চমৎকার ছিলো ✌️,Md,
hw62,30,3.6,45,জঘন্য। পঁচা মাছ দূর্গন্ধ। মুরগির ভুনা বলে ঝোল দিয়েছে তাও দুই পিচ উচ্ছিষ্ট। তরকারি শেষ হলে নাই বলবেন। বিক্রয় করার কি দরকার? ,Hazrat,
